I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
49.023,-4.758,-22.056,-32.893,33.414,-25.627,,,,,,
53.214,-2.1861,-22.553,-36.634,35.698,-24.952,,,,,,
57.56,1.0488,-23.14,-40.993,37.506,-23.953,,,,,,
62.206,5.0825,-23.622,-46.039,39.022,-22.614,,,,,,
67.194,9.914,-23.952,-51.665,40.464,-20.979,,,,,,
72.471,15.333,-24.193,-57.608,42.046,-19.176,,,,,,
77.924,20.952,-24.422,-63.538,43.932,-17.392,,,,,,
83.423,26.381,-24.663,-69.201,46.189,-15.787,,,,,,
88.874,31.432,-24.893,-74.507,48.777,-14.419,,,,,,
94.232,36.198,-25.058,-79.532,51.566,-13.22,,,,,,
99.497,40.961,-25.107,-84.441,54.399,-12.035,,,,,,
104.7,46.035,-25.014,-89.412,57.153,-10.687,,,,,,
109.87,51.627,-24.813,-94.572,59.775,-9.0436,,,,,,
115.06,57.775,-24.608,-99.985,62.275,-7.0326,,,,,,
120.29,64.37,-24.541,-105.64,64.693,-4.6495,,,,,,
125.54,71.228,-24.741,-111.49,67.07,-1.9389,,,,,,
130.78,78.169,-25.267,-117.44,69.435,1.0292,,,,,,
135.96,85.067,-26.085,-123.41,71.802,4.1796,,,,,,
141.07,91.849,-27.081,-129.32,74.171,7.4385,,,,,,
146.11,98.492,-28.088,-135.12,76.537,10.736,,,,,,
151.11,105.0,-28.936,-140.78,78.894,14.024,,,,,,
156.12,111.38,-29.498,-146.31,81.248,17.291,,,,,,
161.2,117.63,-29.712,-151.72,83.621,20.563,,,,,,
166.4,123.73,-29.586,-157.03,86.035,23.895,,,,,,
171.7,129.7,-29.182,-162.28,88.501,27.36,,,,,,
177.1,135.59,-28.61,-167.51,90.996,31.04,,,,,,
182.54,141.5,-28.019,-172.8,93.478,34.995,,,,,,
187.99,147.54,-27.556,-178.22,95.898,39.227,,,,,,
193.39,153.76,-27.333,-183.78,98.22,43.668,,,,,,
198.7,160.09,-27.389,-189.45,100.43,48.207,,,,,,
203.87,166.36,-27.666,-195.13,102.52,52.722,,,,,,
208.84,172.43,-28.023,-200.73,104.52,57.108,,,,,,
213.59,178.18,-28.29,-206.19,106.44,61.3,,,,,,
218.1,183.61,-28.321,-211.48,108.28,65.276,,,,,,
222.37,188.82,-28.039,-216.58,110.06,69.05,,,,,,
226.43,193.87,-27.45,-221.48,111.77,72.653,,,,,,
230.31,198.85,-26.645,-226.16,113.4,76.111,,,,,,
234.03,203.78,-25.754,-230.6,114.95,79.444,,,,,,
237.62,208.62,-24.899,-234.82,116.39,82.665,,,,,,
241.06,213.37,-24.143,-238.81,117.7,85.795,,,,,,
244.33,218.02,-23.467,-242.62,118.84,88.868,,,,,,
247.37,222.57,-22.768,-246.26,119.78,91.919,,,,,,
250.12,227.03,-21.889,-249.68,120.49,94.973,,,,,,
252.49,231.37,-20.681,-252.83,120.94,98.044,,,,,,
254.43,235.5,-19.044,-255.6,121.11,101.13,,,,,,
255.9,239.31,-16.955,-257.89,121.02,104.22,,,,,,
256.91,242.7,-14.455,-259.67,120.68,107.27,,,,,,
257.52,245.65,-11.627,-260.98,120.11,110.25,,,,,,
257.79,248.25,-8.554,-261.93,119.32,113.15,,,,,,
257.81,250.65,-5.3015,-262.7,118.33,116.0,,,,,,
257.64,253.01,-1.911,-263.41,117.14,118.82,,,,,,
257.32,255.44,1.5627,-264.19,115.76,121.64,,,,,,
256.88,257.98,5.008,-265.04,114.19,124.47,,,,,,
256.32,260.57,8.2734,-265.94,112.45,127.29,,,,,,
255.65,263.13,11.25,-266.82,110.56,130.04,,,,,,
254.9,265.52,13.918,-267.61,108.59,132.68,,,,,,
254.11,267.64,16.309,-268.26,106.64,135.13,,,,,,
253.37,269.43,18.446,-268.77,104.88,137.35,,,,,,
252.77,270.93,20.315,-269.21,103.43,139.29,,,,,,
252.43,272.23,21.87,-269.71,102.39,140.97,,,,,,
252.45,273.49,23.067,-270.38,101.81,142.45,,,,,,
252.89,274.86,23.894,-271.36,101.68,143.79,,,,,,
253.76,276.45,24.394,-272.7,101.95,145.07,,,,,,
255.01,278.32,24.656,-274.42,102.56,146.35,,,,,,
256.55,280.44,24.795,-276.43,103.41,147.63,,,,,,
258.26,282.72,24.923,-278.63,104.43,148.89,,,,,,
260.04,285.04,25.116,-280.87,105.53,150.08,,,,,,
261.81,287.3,25.409,-283.05,106.67,151.2,,,,,,
263.53,289.42,25.791,-285.1,107.8,152.22,,,,,,
265.19,291.4,26.235,-286.98,108.9,153.18,,,,,,
266.77,293.24,26.712,-288.72,109.95,154.09,,,,,,
268.27,295.02,27.221,-290.31,110.88,155.03,,,,,,
269.69,296.79,27.793,-291.8,111.66,156.03,,,,,,
271.0,298.62,28.489,-293.19,112.19,157.13,,,,,,
272.15,300.55,29.355,-294.47,112.4,158.36,,,,,,
273.04,302.49,30.398,-295.58,112.18,159.66,,,,,,
273.46,304.26,31.561,-296.35,111.36,160.95,,,,,,
273.06,305.47,32.745,-296.46,109.75,162.08,,,,,,
271.3,305.6,33.846,-295.44,107.11,162.84,,,,,,
267.66,304.07,34.778,-292.76,103.29,162.97,,,,,,
261.78,300.41,35.492,-288.03,98.314,162.22,,,,,,
253.59,294.34,35.977,-281.07,92.306,160.32,,,,,,
243.2,285.78,36.254,-271.88,85.456,157.06,,,,,,
230.81,274.79,36.357,-260.58,77.939,152.32,,,,,,
216.66,261.59,36.309,-247.36,69.885,146.15,,,,,,
201.02,246.44,36.101,-232.41,61.387,138.7,,,,,,
184.13,229.62,35.696,-215.94,52.542,130.23,,,,,,
166.21,211.41,35.052,-198.15,43.512,120.97,,,,,,
147.5,192.02,34.143,-179.25,34.52,111.11,,,,,,
128.24,171.66,32.972,-159.45,25.774,100.72,,,,,,
108.68,150.53,31.573,-139.04,17.404,89.856,,,,,,
89.11,128.95,30.005,-118.35,9.4745,78.567,,,,,,
69.789,107.33,28.337,-97.791,2.0642,66.952,,,,,,
51.031,86.206,26.627,-77.81,-4.6959,55.14,,,,,,
33.417,66.056,24.898,-58.767,-10.627,43.241,,,,,,
18.025,47.119,23.151,-40.891,-15.545,31.38,,,,,,
5.7356,29.329,21.39,-24.569,-19.377,19.878,,,,,,
-3.8017,12.788,19.643,-10.697,-22.237,9.3908,,,,,,
-11.653,-1.4717,17.968,-0.024304,-24.361,0.64651,,,,,,
-18.545,-12.165,16.434,7.8316,-25.985,-6.0476,,,,,,
-24.693,-19.358,15.103,13.897,-27.277,-10.914,,,,,,
-30.064,-24.185,14.018,18.925,-28.342,-14.409,,,,,,
-34.587,-27.682,13.192,23.217,-29.237,-16.947,,,,,,
-38.248,-30.408,12.614,26.838,-29.994,-18.816,,,,,,
-41.111,-32.601,12.26,29.803,-30.637,-20.198,,,,,,
-43.302,-34.36,12.106,32.162,-31.189,-21.21,,,,,,
-44.974,-35.746,12.134,34.002,-31.676,-21.929,,,,,,
-46.271,-36.815,12.324,35.427,-32.123,-22.418,,,,,,
-47.315,-37.634,12.652,36.544,-32.552,-22.731,,,,,,
-48.201,-38.268,13.094,37.446,-32.979,-22.914,,,,,,
-48.993,-38.778,13.623,38.213,-33.414,-23.005,,,,,,
-49.731,-39.212,14.205,38.903,-33.862,-23.037,,,,,,
-50.425,-39.606,14.795,39.55,-34.319,-23.041,,,,,,
-51.067,-39.98,15.34,40.165,-34.772,-23.046,,,,,,
-51.641,-40.344,15.797,40.74,-35.206,-23.077,,,,,,
-52.13,-40.691,16.153,41.256,-35.606,-23.14,,,,,,
-52.526,-41.001,16.429,41.693,-35.964,-23.224,,,,,,
-52.829,-41.255,16.655,42.039,-36.28,-23.308,,,,,,
-53.054,-41.443,16.856,42.298,-36.556,-23.374,,,,,,
-53.227,-41.574,17.037,42.493,-36.803,-23.415,,,,,,
-53.386,-41.671,17.2,42.662,-37.043,-23.427,,,,,,
-53.568,-41.753,17.359,42.842,-37.31,-23.406,,,,,,
-53.799,-41.831,17.541,43.058,-37.647,-23.339,,,,,,
-54.092,-41.908,17.782,43.319,-38.089,-23.219,,,,,,
-54.44,-41.983,18.112,43.622,-38.656,-23.041,,,,,,
-54.823,-42.054,18.539,43.956,-39.341,-22.817,,,,,,
-55.212,-42.119,19.057,44.297,-40.108,-22.561,,,,,,
-55.582,-42.161,19.659,44.621,-40.907,-22.28,,,,,,
-55.913,-42.159,20.347,44.902,-41.698,-21.962,,,,,,
-56.203,-42.092,21.133,45.127,-42.47,-21.587,,,,,,
-56.459,-41.953,22.021,45.298,-43.241,-21.142,,,,,,
-56.697,-41.755,23.0,45.429,-44.04,-20.631,,,,,,
-56.934,-41.521,24.035,45.538,-44.898,-20.073,,,,,,
-57.179,-41.276,25.081,45.641,-45.834,-19.495,,,,,,
-57.436,-41.044,26.097,45.745,-46.852,-18.925,,,,,,
-57.702,-40.84,27.057,45.853,-47.939,-18.391,,,,,,
-57.966,-40.668,27.949,45.963,-49.066,-17.913,,,,,,
-58.216,-40.527,28.772,46.072,-50.195,-17.496,,,,,,
-58.443,-40.405,29.532,46.172,-51.291,-17.13,,,,,,
-58.642,-40.28,30.242,46.256,-52.34,-16.783,,,,,,
-58.811,-40.129,30.915,46.313,-53.344,-16.413,,,,,,
-58.951,-39.926,31.56,46.333,-54.308,-15.975,,,,,,
-59.065,-39.653,32.178,46.308,-55.228,-15.432,,,,,,
-59.156,-39.304,32.764,46.24,-56.09,-14.775,,,,,,
-59.227,-38.888,33.31,46.136,-56.867,-14.016,,,,,,
-59.276,-38.417,33.821,46.003,-57.539,-13.179,,,,,,
-59.301,-37.89,34.321,45.841,-58.109,-12.283,,,,,,
-59.301,-37.302,34.853,45.647,-58.606,-11.328,,,,,,
-59.28,-36.643,35.46,45.419,-59.084,-10.303,,,,,,
-59.246,-35.919,36.171,45.163,-59.594,-9.1924,,,,,,
-59.212,-35.144,36.987,44.889,-60.161,-7.994,,,,,,
-59.182,-34.344,37.891,44.607,-60.779,-6.7237,,,,,,
-59.163,-33.543,38.853,44.327,-61.416,-5.4165,,,,,,
-59.157,-32.775,39.839,44.064,-62.037,-4.1295,,,,,,
-59.169,-32.079,40.81,43.841,-62.616,-2.9437,,,,,,
-59.207,-31.507,41.726,43.684,-63.142,-1.9562,,,,,,
-59.278,-31.104,42.552,43.622,-63.623,-1.2567,,,,,,
-59.387,-30.902,43.267,43.668,-64.083,-0.89451,,,,,,
-59.532,-30.896,43.88,43.818,-64.558,-0.84759,,,,,,
-59.706,-31.042,44.424,44.044,-65.081,-1.0132,,,,,,
-59.895,-31.269,44.95,44.3,-65.66,-1.2333,,,,,,
-60.079,-31.499,45.495,44.539,-66.272,-1.3516,,,,,,
-60.244,-31.676,46.061,44.732,-66.866,-1.2754,,,,,,
-60.38,-31.786,46.609,44.871,-67.387,-1.0029,,,,,,
-60.493,-31.843,47.086,44.973,-67.812,-0.60099,,,,,,
-60.599,-31.878,47.474,45.071,-68.161,-0.15029,,,,,,
-60.722,-31.913,47.82,45.194,-68.498,0.30222,,,,,,
-60.882,-31.958,48.209,45.366,-68.895,0.75039,,,,,,
-61.088,-32.012,48.702,45.591,-69.393,1.1985,,,,,,
-61.325,-32.068,49.276,45.853,-69.957,1.6215,,,,,,
-61.545,-32.116,49.784,46.108,-70.477,1.9397,,,,,,
-61.67,-32.137,49.965,46.283,-70.787,2.0192,,,,,,
-61.6,-32.1,49.506,46.285,-70.665,1.7003,,,,,,
-61.225,-31.965,48.161,46.006,-69.835,0.85249,,,,,,
-60.447,-31.677,46.006,45.335,-67.948,-0.56165,,,,,,
-59.182,-31.183,43.714,44.169,-64.823,-2.451,,,,,,
-57.362,-30.444,42.473,42.427,-61.13,-4.6184,,,,,,
-54.912,-29.441,43.666,40.062,-58.553,-6.8344,,,,,,
-51.751,-28.181,47.901,37.084,-57.728,-8.9137,,,,,,
-47.788,-26.676,52.701,33.548,-57.135,-10.751,,,,,,
-42.981,-24.939,53.885,29.542,-55.022,-12.319,,,,,,
-37.347,-22.982,49.165,25.183,-50.646,-13.652,,,,,,
-30.959,-20.86,37.908,20.565,-43.919,-14.832,,,,,,
-23.914,-18.642,20.927,15.784,-35.072,-15.967,,,,,,
-16.351,-16.438,1.4133,10.951,-24.707,-17.153,,,,,,
-8.4845,-14.394,-17.07,6.1917,-13.752,-18.452,,,,,,
-0.59717,-12.674,-33.267,1.6381,-3.2348,-19.901,,,,,,
7.0432,-11.425,-46.532,-2.5798,5.923,-21.492,,,,,,
14.262,-10.747,-55.713,-6.3457,13.163,-23.179,,,,,,
20.998,-10.664,-59.981,-9.5639,18.571,-24.888,,,,,,
27.256,-11.121,-59.496,-12.158,22.987,-26.524,,,,,,
33.017,-12.011,-55.849,-14.062,27.566,-28.011,,,,,,
38.137,-13.229,-52.079,-15.202,32.887,-29.319,,,,,,
42.277,-14.707,-51.389,-15.496,38.531,-30.478,,,,,,
44.941,-16.417,-54.552,-14.872,43.581,-31.543,,,,,,
45.638,-18.348,-59.689,-13.326,47.318,-32.572,,,,,,
44.147,-20.481,-64.873,-10.975,49.464,-33.596,,,,,,
40.751,-22.785,-69.515,-8.0437,50.036,-34.619,,,,,,
36.187,-25.219,-73.679,-4.775,49.229,-35.627,,,,,,
31.257,-27.742,-77.272,-1.3476,47.395,-36.598,,,,,,
26.466,-30.317,-79.931,2.14,44.967,-37.512,,,,,,
21.971,-32.905,-81.28,5.6365,42.302,-38.354,,,,,,
17.721,-35.473,-81.141,9.1069,39.563,-39.113,,,,,,
13.609,-37.979,-79.596,12.527,36.736,-39.781,,,,,,
9.5494,-40.389,-76.972,15.874,33.733,-40.351,,,,,,
5.4973,-42.665,-73.777,19.122,30.493,-40.826,,,,,,
1.4447,-44.772,-70.569,22.241,27.026,-41.219,,,,,,
-2.5819,-46.676,-67.823,25.189,23.428,-41.546,,,,,,
-6.5273,-48.352,-65.819,27.917,19.857,-41.822,,,,,,
-10.312,-49.79,-64.601,30.378,16.493,-42.056,,,,,,
-13.843,-50.995,-64.046,32.535,13.472,-42.254,,,,,,
-17.032,-52.0,-63.962,34.383,10.838,-42.428,,,,,,
-19.825,-52.851,-64.147,35.947,8.5494,-42.593,,,,,,
-22.219,-53.599,-64.412,37.281,6.5513,-42.765,,,,,,
-24.259,-54.285,-64.615,38.443,4.814,-42.948,,,,,,
-26.007,-54.927,-64.696,39.473,3.3182,-43.14,,,,,,
-27.511,-55.516,-64.658,40.382,2.0417,-43.327,,,,,,
-28.791,-56.038,-64.545,41.165,0.96694,-43.498,,,,,,
-29.856,-56.483,-64.418,41.814,0.084562,-43.649,,,,,,
-30.721,-56.859,-64.341,42.34,-0.61607,-43.788,,,,,,
-31.423,-57.19,-64.351,42.772,-1.1625,-43.935,,,,,,
-32.023,-57.503,-64.438,43.156,-1.609,-44.099,,,,,,
-32.597,-57.819,-64.547,43.536,-2.0329,-44.278,,,,,,
-33.209,-58.142,-64.592,43.936,-2.5187,-44.45,,,,,,
-33.893,-58.445,-64.488,44.355,-3.1378,-44.58,,,,,,
-34.642,-58.691,-64.171,44.759,-3.9233,-44.632,,,,,,
-35.401,-58.847,-63.632,45.106,-4.8448,-44.589,,,,,,
-36.093,-58.918,-62.963,45.372,-5.7899,-44.488,,,,,,
-36.645,-58.987,-62.419,45.582,-6.5696,-44.422,,,,,,
-37.03,-59.221,-62.391,45.84,-6.9428,-44.549,,,,,,
-37.298,-59.868,-63.045,46.326,-6.6395,-45.121,,,,,,
-37.603,-61.196,-63.414,47.26,-5.3959,-46.661,,,,,,
-38.179,-63.459,-60.599,48.807,-3.0979,-50.587,,,,,,
-39.263,-66.988,-59.025,50.978,-0.039409,-57.046,,,,,,
-40.944,-70.816,-57.652,53.583,3.1213,-55.578,,,,,,
-43.043,-69.609,-55.273,56.183,5.9703,-51.498,,,,,,
-45.133,-66.553,-52.895,57.978,8.7223,-49.226,,,,,,
-46.689,-64.86,-52.166,58.617,11.896,-49.297,,,,,,
-47.169,-65.681,-56.312,58.948,15.801,-52.673,,,,,,
-45.83,-74.703,-70.58,59.983,20.257,-63.636,,,,,,
-41.33,-98.379,-98.088,66.39,24.666,-85.394,,,,,,
-36.929,-137.36,-138.94,91.148,28.457,-118.64,,,,,,
-58.732,-189.88,-187.52,122.03,31.72,-165.9,,,,,,
-74.378,-252.7,-237.11,158.87,35.56,-226.86,,,,,,
-90.81,-316.76,-279.82,195.32,40.96,-285.32,,,,,,
-103.11,-363.52,-306.83,221.62,45.856,-323.92,,,,,,
-105.39,-373.99,-310.25,227.3,46.502,-332.8,,,,,,
-91.379,-333.42,-282.74,201.72,42.471,-300.37,,,,,,
-52.212,-227.58,-217.76,132.86,35.855,-214.95,,,,,,
20.934,-46.859,-111.12,9.2496,28.251,-69.649,,,,,,
128.99,207.65,36.686,-172.86,20.624,134.01,,,,,,
259.81,519.64,217.63,-393.58,12.884,383.06,,,,,,
400.16,856.15,413.61,-631.24,1.1,651.11,,,,,,
532.19,1168.1,595.69,-852.58,-21.037,898.71,,,,,,
633.16,1397.1,727.94,-1017.0,-42.575,1078.7,,,,,,
680.57,1490.1,777.91,-1086.8,-52.978,1148.7,,,,,,
658.57,1418.9,731.27,-1040.1,-50.835,1088.3,,,,,,
564.06,1195.7,602.38,-881.06,-40.745,911.63,,,,,,
409.76,873.11,431.65,-642.34,-35.398,665.62,,,,,,
222.65,525.96,268.22,-374.86,-44.438,411.92,,,,,,
37.529,224.45,148.46,-131.38,-65.857,202.86,,,,,,
-112.45,11.849,83.788,50.119,-91.225,64.993,,,,,,
-202.44,-99.931,63.596,149.69,-114.6,-2.2699,,,,,,
-235.67,-128.31,68.217,178.85,-130.4,-15.998,,,,,,
-227.59,-108.73,79.459,163.89,-133.39,-3.4088,,,,,,
-195.29,-70.421,84.623,127.29,-123.18,13.998,,,,,,
-152.09,-32.885,78.603,85.142,-104.65,24.664,,,,,,
-107.65,-7.7311,63.642,49.292,-83.963,25.053,,,,,,
-70.922,1.4476,43.609,26.609,-64.619,16.884,,,,,,
-48.044,-2.6895,20.594,18.733,-47.78,4.3644,,,,,,
-48.599,-37.538,-0.040433,38.826,-33.91,-19.544,,,,,,
-47.063,-43.259,-5.1851,41.464,-25.178,-26.314,,,,,,
-44.57,-43.781,-10.25,40.396,-22.406,-28.274,,,,,,
-43.753,-42.776,-13.934,38.787,-22.252,-29.125,,,,,,
-42.341,-41.451,-14.834,36.677,-23.174,-29.53,,,,,,
-39.65,-40.498,-14.663,34.455,-23.437,-29.881,,,,,,
-36.82,-40.118,-15.759,32.773,-22.392,-30.399,,,,,,
-34.609,-40.154,-17.655,31.79,-21.053,-31.037,,,,,,
-33.131,-40.34,-18.849,31.281,-19.91,-31.6,,,,,,
-32.182,-40.43,-19.163,30.932,-19.109,-31.945,,,,,,
-31.491,-40.261,-18.927,30.51,-18.641,-32.024,,,,,,
-30.828,-39.754,-18.434,29.883,-18.414,-31.852,,,,,,
-30.062,-38.905,-17.847,29.003,-18.321,-31.466,,,,,,
-29.13,-37.757,-17.239,27.875,-18.277,-30.897,,,,,,
-28.029,-36.354,-16.624,26.515,-18.232,-30.169,,,,,,
-26.761,-34.737,-15.988,24.942,-18.157,-29.295,,,,,,
-25.339,-32.935,-15.305,23.176,-18.042,-28.282,,,,,,
-23.777,-30.971,-14.547,21.236,-17.887,-27.13,,,,,,
-22.087,-28.844,-13.689,19.132,-17.7,-25.828,,,,,,
-20.26,-26.53,-12.714,16.852,-17.487,-24.347,,,,,,
-18.262,-23.98,-11.623,14.362,-17.238,-22.646,,,,,,
-16.039,-21.138,-10.439,11.617,-16.929,-20.68,,,,,,
-13.542,-17.953,-9.1979,8.577,-16.528,-18.418,,,,,,
-10.752,-14.398,-7.9351,5.2334,-16.008,-15.852,,,,,,
-7.6911,-10.478,-6.6756,1.608,-15.345,-13.02,,,,,,
-4.4054,-6.242,-5.4336,-2.251,-14.53,-10.01,,,,,,
-0.94374,-1.7654,-4.2196,-6.2887,-13.565,-6.9398,,,,,,
2.6694,2.8797,-3.054,-10.469,-12.432,-3.9179,,,,,,
6.4469,7.6632,-1.968,-14.797,-11.101,-1.0105,,,,,,
10.434,12.609,-1.0038,-19.321,-9.5357,1.77,,,,,,
14.688,17.765,-0.20094,-24.103,-7.7059,4.4531,,,,,,
19.254,23.189,0.41805,-29.206,-5.602,7.0822,,,,,,
24.13,28.9,0.84819,-34.65,-3.2421,9.6958,,,,,,
29.289,34.855,1.0897,-40.391,-0.66313,12.308,,,,,,
34.679,40.966,1.138,-46.342,2.0945,14.901,,,,,,
40.259,47.11,0.9868,-52.385,4.9975,17.444,,,,,,
46.002,53.193,0.64008,-58.428,8.0224,19.912,,,,,,
51.914,59.178,0.12132,-64.435,11.154,22.309,,,,,,
58.032,65.09,-0.52387,-70.428,14.379,24.682,,,,,,
64.374,70.988,-1.2331,-76.446,17.684,27.118,,,,,,
70.907,76.917,-1.9374,-82.503,21.042,29.716,,,,,,
77.519,82.868,-2.5714,-88.565,24.405,32.547,,,,,,
84.058,88.787,-3.0845,-94.558,27.712,35.614,,,,,,
90.385,94.606,-3.4496,-100.41,30.911,38.854,,,,,,
96.426,100.28,-3.6667,-106.1,33.975,42.168,,,,,,
102.18,105.8,-3.7572,-111.61,36.901,45.461,,,,,,
107.67,111.19,-3.7485,-116.98,39.717,48.675,,,,,,
112.94,116.5,-3.6576,-122.23,42.465,51.797,,,,,,
118.0,121.73,-3.4802,-127.35,45.139,54.845,,,,,,
122.82,126.88,-3.1944,-132.31,47.699,57.848,,,,,,
127.34,131.91,-2.7741,-137.07,50.092,60.826,,,,,,
131.54,136.78,-2.2081,-141.58,52.272,63.79,,,,,,
135.41,141.47,-1.5123,-145.82,54.23,66.74,,,,,,
139.02,146.0,-0.7309,-149.85,55.991,69.674,,,,,,
142.42,150.39,0.076045,-153.7,57.602,72.578,,,,,,
145.7,154.67,0.85231,-157.44,59.106,75.433,,,,,,
148.87,158.84,1.5635,-161.07,60.528,78.214,,,,,,
151.92,162.87,2.2041,-164.58,61.868,80.896,,,,,,
154.82,166.71,2.7902,-167.92,63.115,83.453,,,,,,
157.55,170.31,3.3414,-171.06,64.265,85.852,,,,,,
160.12,173.64,3.8646,-173.97,65.337,88.051,,,,,,
162.57,176.66,4.351,-176.66,66.378,90.011,,,,,,
164.96,179.39,4.7851,-179.17,67.454,91.71,,,,,,
167.37,181.88,5.159,-181.56,68.623,93.166,,,,,,
169.85,184.23,5.4791,-183.91,69.91,94.433,,,,,,
172.43,186.54,5.7611,-186.29,71.296,95.595,,,,,,
175.12,188.93,6.0177,-188.77,72.738,96.744,,,,,,
177.9,191.5,6.2485,-191.39,74.193,97.968,,,,,,
180.79,194.31,6.436,-194.19,75.639,99.323,,,,,,
