I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
53.153,42.886,8.4107,-46.426,20.411,24.67,,,,,,
53.387,45.955,12.014,-47.642,18.156,28.758,,,,,,
53.504,48.984,15.462,-48.759,15.708,32.848,,,,,,
53.483,51.899,18.664,-49.751,13.115,36.89,,,,,,
53.292,54.608,21.558,-50.589,10.431,40.846,,,,,,
52.878,57.008,24.115,-51.235,7.7029,44.654,,,,,,
52.164,58.996,26.343,-51.647,4.9594,48.216,,,,,,
51.045,60.474,28.277,-51.784,2.2194,51.395,,,,,,
49.407,61.364,29.956,-51.607,-0.49526,54.033,,,,,,
47.143,61.61,31.409,-51.078,-3.1501,55.97,,,,,,
44.182,61.192,32.646,-50.173,-5.6985,57.082,,,,,,
40.5,60.127,33.665,-48.874,-8.0905,57.308,,,,,,
36.124,58.467,34.461,-47.172,-10.282,56.677,,,,,,
31.119,56.285,35.033,-45.061,-12.241,55.298,,,,,,
25.572,53.661,35.386,-42.531,-13.959,53.324,,,,,,
19.59,50.673,35.525,-39.563,-15.452,50.904,,,,,,
13.306,47.386,35.458,-36.129,-16.76,48.151,,,,,,
6.8945,43.857,35.195,-32.199,-17.93,45.141,,,,,,
0.57588,40.126,34.754,-27.768,-19.001,41.925,,,,,,
-5.4118,36.227,34.169,-22.876,-19.992,38.544,,,,,,
-10.859,32.184,33.48,-17.629,-20.902,35.035,,,,,,
-15.631,28.022,32.73,-12.201,-21.726,31.442,,,,,,
-19.678,23.784,31.955,-6.8161,-22.46,27.83,,,,,,
-23.026,19.541,31.187,-1.7042,-23.111,24.3,,,,,,
-25.744,15.402,30.456,2.9443,-23.692,20.985,,,,,,
-27.922,11.493,29.788,7.0132,-24.22,18.014,,,,,,
-29.653,7.925,29.206,10.468,-24.701,15.466,,,,,,
-31.023,4.7639,28.719,13.344,-25.137,13.356,,,,,,
-32.11,2.0157,28.324,15.717,-25.522,11.644,,,,,,
-32.986,-0.35582,28.011,17.683,-25.855,10.267,,,,,,
-33.709,-2.3959,27.773,19.324,-26.15,9.1666,,,,,,
-34.324,-4.1261,27.616,20.697,-26.433,8.3058,,,,,,
-34.858,-5.5299,27.563,21.825,-26.737,7.6697,,,,,,
-35.321,-6.5613,27.643,22.707,-27.087,7.2616,,,,,,
-35.711,-7.169,27.878,23.329,-27.492,7.0937,,,,,,
-36.012,-7.3192,28.271,23.676,-27.936,7.1799,,,,,,
-36.208,-7.0066,28.805,23.737,-28.387,7.5334,,,,,,
-36.279,-6.2499,29.451,23.504,-28.804,8.1688,,,,,,
-36.213,-5.0758,30.177,22.97,-29.153,9.1056,,,,,,
-36.003,-3.5023,30.965,22.125,-29.419,10.374,,,,,,
-35.643,-1.5266,31.812,20.95,-29.603,12.017,,,,,,
-35.126,0.88025,32.728,19.405,-29.717,14.101,,,,,,
-34.429,3.7664,33.73,17.423,-29.772,16.694,,,,,,
-33.51,7.1784,34.838,14.902,-29.776,19.84,,,,,,
-32.299,11.125,36.069,11.715,-29.729,23.479,,,,,,
-30.705,15.539,37.43,7.7543,-29.623,27.389,,,,,,
-28.627,20.27,38.916,2.9958,-29.442,31.252,,,,,,
-25.968,25.132,40.49,-2.4359,-29.168,34.841,,,,,,
-22.665,29.984,42.082,-8.2688,-28.776,38.172,,,,,,
-18.712,34.785,43.603,-14.18,-28.242,41.441,,,,,,
-14.155,39.582,44.989,-19.917,-27.539,44.888,,,,,,
-9.0746,44.434,46.232,-25.344,-26.643,48.713,,,,,,
-3.5589,49.341,47.381,-30.393,-25.538,53.039,,,,,,
2.2933,54.212,48.514,-35.008,-24.216,57.846,,,,,,
8.3522,58.878,49.677,-39.124,-22.685,62.9,,,,,,
14.44,63.125,50.81,-42.678,-20.969,67.745,,,,,,
20.339,66.726,51.71,-45.633,-19.112,71.794,,,,,,
25.815,69.461,52.063,-47.972,-17.174,74.469,,,,,,
30.651,71.136,51.52,-49.696,-15.235,75.31,,,,,,
34.663,71.595,49.797,-50.797,-13.386,74.053,,,,,,
37.685,70.743,46.776,-51.243,-11.725,70.681,,,,,,
39.537,68.553,42.576,-50.96,-10.333,65.453,,,,,,
39.982,65.066,37.574,-49.812,-9.2598,58.849,,,,,,
38.748,60.379,32.328,-47.614,-8.5073,51.466,,,,,,
35.638,54.636,27.434,-44.174,-8.0444,43.88,,,,,,
30.699,48.011,23.377,-39.38,-7.8376,36.55,,,,,,
24.276,40.685,20.402,-33.271,-7.8812,29.763,,,,,,
16.871,32.809,18.445,-26.032,-8.1976,23.612,,,,,,
8.9628,24.491,17.144,-17.956,-8.8092,18.025,,,,,,
0.95375,15.847,15.984,-9.4204,-9.7145,12.876,,,,,,
-6.7958,7.0996,14.553,-0.89331,-10.882,8.178,,,,,,
-13.958,-1.3871,12.727,7.117,-12.255,4.1247,,,,,,
-20.274,-9.2252,10.66,14.2,-13.766,0.7698,,,,,,
-25.599,-16.185,8.6299,20.161,-15.345,-2.1345,,,,,,
-29.914,-22.254,6.8712,25.025,-16.935,-4.8932,,,,,,
-33.307,-27.541,5.5211,28.947,-18.506,-7.6716,,,,,,
-35.929,-32.173,4.6312,32.118,-20.054,-10.468,,,,,,
-37.952,-36.227,4.1955,34.71,-21.583,-13.161,,,,,,
-39.531,-39.732,4.1607,36.85,-23.078,-15.6,,,,,,
-40.781,-42.72,4.4148,38.629,-24.492,-17.702,,,,,,
-41.781,-45.281,4.7612,40.124,-25.747,-19.535,,,,,,
-42.587,-47.624,4.8939,41.432,-26.758,-21.357,,,,,,
-43.248,-50.099,4.3826,42.696,-27.453,-23.654,,,,,,
-43.822,-53.213,2.6849,44.118,-27.77,-27.166,,,,,,
-44.365,-57.59,-0.69314,45.956,-27.634,-32.76,,,,,,
-44.924,-63.735,-5.6984,48.505,-26.929,-40.62,,,,,,
-45.507,-70.148,-11.428,51.938,-25.479,-45.346,,,,,,
-46.054,-71.904,-11.602,55.766,-23.135,-44.448,,,,,,
-46.412,-71.315,-9.6038,58.732,-20.606,-42.704,,,,,,
-46.351,-71.233,-8.0706,60.297,-22.306,-41.43,,,,,,
-45.674,-71.718,-8.229,60.793,-27.398,-41.642,,,,,,
-44.615,-73.873,-11.54,60.932,-28.281,-44.703,,,,,,
-48.625,-83.999,-20.419,65.093,-26.861,-54.917,,,,,,
-62.954,-108.81,-39.455,81.126,-23.46,-77.388,,,,,,
-71.972,-150.23,-71.685,105.8,-16.137,-114.62,,,,,,
-82.644,-207.07,-116.92,139.12,-0.006969,-165.53,,,,,,
-92.712,-272.51,-172.05,176.43,27.325,-225.5,,,,,,
-96.781,-334.52,-231.76,208.43,63.413,-287.18,,,,,,
-85.763,-377.68,-288.41,223.36,102.35,-339.5,,,,,,
-52.813,-384.66,-330.07,208.35,143.05,-364.66,,,,,,
9.2561,-336.3,-342.86,149.87,183.96,-344.81,,,,,,
110.94,-214.58,-312.71,37.609,218.85,-265.4,,,,,,
246.48,-8.7446,-226.43,-131.5,238.93,-115.31,,,,,,
395.14,280.47,-74.018,-350.94,234.37,109.81,,,,,,
540.57,636.48,147.16,-602.0,194.66,402.59,,,,,,
657.07,1023.3,426.15,-853.32,111.98,739.07,,,,,,
717.77,1386.1,733.83,-1063.9,-12.907,1076.7,,,,,,
702.22,1659.4,1024.6,-1191.0,-167.65,1359.6,,,,,,
603.01,1784.1,1246.5,-1201.5,-330.1,1531.9,,,,,,
430.12,1728.6,1358.1,-1085.1,-474.37,1557.4,,,,,,
210.29,1503.0,1343.4,-860.45,-578.41,1433.5,,,,,,
-19.49,1156.9,1215.7,-571.15,-629.58,1192.5,,,,,,
-222.27,760.69,1009.4,-271.03,-625.79,887.4,,,,,,
-370.52,380.7,765.15,-6.6079,-572.75,572.57,,,,,,
-443.03,65.882,518.82,188.92,-485.88,289.24,,,,,,
-451.41,-164.25,295.12,310.71,-378.62,61.308,,,,,,
-415.54,-306.27,111.07,363.6,-269.19,-101.54,,,,,,
-349.22,-369.89,-23.719,361.91,-168.89,-199.7,,,,,,
-271.2,-372.87,-106.4,323.82,-87.259,-241.21,,,,,,
-196.69,-335.59,-141.41,266.54,-30.102,-239.78,,,,,,
-134.82,-276.78,-141.38,204.64,1.8062,-210.98,,,,,,
-90.335,-213.14,-121.14,149.53,12.282,-169.58,,,,,,
-64.504,-157.47,-91.244,108.13,9.1744,-127.41,,,,,,
-54.665,-116.25,-61.176,81.761,0.020706,-92.112,,,,,,
-53.703,-91.043,-38.214,69.8,-10.253,-68.022,,,,,,
-55.911,-80.617,-24.192,66.851,-18.411,-55.086,,,,,,
-58.854,-79.207,-18.703,66.697,-23.009,-50.888,,,,,,
-59.883,-79.535,-20.944,67.154,-19.46,-51.499,,,,,,
-51.336,-80.18,-22.197,65.993,-14.23,-52.402,,,,,,
-44.305,-80.546,-23.643,59.234,-12.379,-53.114,,,,,,
-41.753,-77.274,-25.042,51.711,-11.997,-54.076,,,,,,
-40.507,-70.938,-25.132,47.277,-12.227,-52.947,,,,,,
-39.754,-66.215,-24.009,44.822,-12.537,-49.191,,,,,,
-39.224,-63.316,-22.923,43.382,-12.678,-46.579,,,,,,
-38.78,-61.479,-22.219,42.444,-12.582,-45.122,,,,,,
-38.338,-60.16,-21.836,41.713,-12.266,-44.225,,,,,,
-37.846,-59.015,-21.644,41.017,-11.77,-43.553,,,,,,
-37.269,-57.846,-21.547,40.27,-11.136,-42.934,,,,,,
-36.592,-56.563,-21.492,39.445,-10.395,-42.289,,,,,,
-35.819,-55.138,-21.446,38.548,-9.5868,-41.582,,,,,,
-34.963,-53.561,-21.379,37.59,-8.7558,-40.781,,,,,,
-34.05,-51.815,-21.25,36.577,-7.9537,-39.837,,,,,,
-33.1,-49.88,-21.017,35.507,-7.2227,-38.692,,,,,,
-32.124,-47.751,-20.663,34.377,-6.5796,-37.304,,,,,,
-31.115,-45.47,-20.204,33.192,-6.0058,-35.682,,,,,,
-30.048,-43.121,-19.692,31.964,-5.4548,-33.901,,,,,,
-28.892,-40.801,-19.192,30.708,-4.8732,-32.079,,,,,,
-27.613,-38.573,-18.75,29.431,-4.2255,-30.308,,,,,,
-26.19,-36.435,-18.363,28.123,-3.5099,-28.603,,,,,,
-24.611,-34.319,-17.988,26.755,-2.7566,-26.888,,,,,,
-22.864,-32.135,-17.562,25.278,-2.0069,-25.047,,,,,,
-20.925,-29.812,-17.049,23.642,-1.2821,-22.995,,,,,,
-18.75,-27.339,-16.455,21.807,-0.55895,-20.747,,,,,,
-16.285,-24.766,-15.843,19.759,0.22853,-18.426,,,,,,
-13.483,-22.175,-15.295,17.504,1.1617,-16.194,,,,,,
-10.321,-19.632,-14.876,15.064,2.2987,-14.165,,,,,,
-6.8247,-17.158,-14.599,12.461,3.6471,-12.362,,,,,,
-3.0581,-14.727,-14.422,9.7053,5.1616,-10.733,,,,,,
0.89374,-12.288,-14.28,6.7963,6.7711,-9.2105,,,,,,
4.9601,-9.8043,-14.131,3.7357,8.4243,-7.7612,,,,,,
9.1095,-7.2749,-13.978,0.53671,10.126,-6.4052,,,,,,
13.346,-4.7427,-13.879,-2.7702,11.938,-5.1943,,,,,,
17.686,-2.2724,-13.913,-6.1411,13.946,-4.1766,,,,,,
22.1,0.083237,-14.137,-9.5312,16.212,-3.3684,,,,,,
26.511,2.3147,-14.549,-12.909,18.726,-2.7444,,,,,,
30.803,4.4631,-15.086,-16.26,21.396,-2.2442,,,,,,
34.851,6.5954,-15.658,-19.573,24.074,-1.7934,,,,,,
38.556,8.7602,-16.188,-22.819,26.61,-1.3333,,,,,,
41.86,10.951,-16.64,-25.937,28.911,-0.84583,,,,,,
44.751,13.096,-17.034,-28.85,30.966,-0.35934,,,,,,
47.248,15.09,-17.423,-31.482,32.818,0.069394,,,,,,
49.387,16.835,-17.872,-33.79,34.516,0.38504,,,,,,
51.205,18.287,-18.412,-35.768,36.085,0.56097,,,,,,
52.743,19.469,-19.026,-37.447,37.515,0.61317,,,,,,
54.038,20.457,-19.657,-38.88,38.777,0.59567,,,,,,
55.129,21.34,-20.238,-40.122,39.85,0.57609,,,,,,
56.052,22.176,-20.724,-41.208,40.738,0.60137,,,,,,
56.834,22.962,-21.112,-42.152,41.468,0.67324,,,,,,
57.494,23.641,-21.441,-42.945,42.077,0.74964,,,,,,
58.04,24.132,-21.764,-43.57,42.6,0.76952,,,,,,
58.476,24.374,-22.123,-44.014,43.051,0.68428,,,,,,
58.803,24.349,-22.524,-44.276,43.429,0.47935,,,,,,
59.023,24.09,-22.935,-44.365,43.717,0.17965,,,,,,
59.139,23.668,-23.303,-44.301,43.901,-0.16092,,,,,,
59.162,23.163,-23.581,-44.111,43.975,-0.4826,,,,,,
59.105,22.639,-23.747,-43.824,43.951,-0.74725,,,,,,
58.985,22.119,-23.816,-43.463,43.854,-0.95526,,,,,,
58.818,21.593,-23.825,-43.044,43.715,-1.1391,,,,,,
58.618,21.041,-23.819,-42.577,43.559,-1.3366,,,,,,
58.393,20.459,-23.817,-42.071,43.394,-1.562,,,,,,
58.147,19.882,-23.804,-41.544,43.207,-1.7906,,,,,,
57.881,19.373,-23.738,-41.019,42.973,-1.9655,,,,,,
57.594,19.007,-23.573,-40.528,42.668,-2.0229,,,,,,
57.292,18.838,-23.278,-40.101,42.284,-1.9235,,,,,,
56.988,18.888,-22.852,-39.768,41.837,-1.6721,,,,,,
56.701,19.147,-22.327,-39.551,41.362,-1.3105,,,,,,
56.456,19.602,-21.744,-39.469,40.903,-0.88701,,,,,,
56.27,20.254,-21.127,-39.537,40.48,-0.42477,,,,,,
56.148,21.136,-20.464,-39.767,40.084,0.09612,,,,,,
56.091,22.303,-19.699,-40.167,39.669,0.73511,,,,,,
56.092,23.803,-18.756,-40.741,39.181,1.5716,,,,,,
56.147,25.653,-17.566,-41.482,38.575,2.6798,,,,,,
56.253,27.817,-16.086,-42.366,37.835,4.1113,,,,,,
56.407,30.219,-14.315,-43.358,36.98,5.8878,,,,,,
56.602,32.774,-12.282,-44.415,36.041,8.0004,,,,,,
56.826,35.411,-10.037,-45.496,35.046,10.42,,,,,,
57.058,38.086,-7.6105,-46.566,33.991,13.118,,,,,,
57.277,40.771,-5.0018,-47.601,32.838,16.079,,,,,,
57.465,43.443,-2.18,-48.584,31.525,19.287,,,,,,
57.605,46.068,0.87728,-49.502,29.992,22.701,,,,,,
57.684,48.593,4.1347,-50.339,28.21,26.238,,,,,,
57.687,50.95,7.4729,-51.076,26.186,29.79,,,,,,
57.587,53.061,10.715,-51.683,23.962,33.243,,,,,,
57.345,54.844,13.696,-52.126,21.589,36.49,,,,,,
56.907,56.223,16.324,-52.369,19.093,39.418,,,,,,
56.21,57.125,18.592,-52.372,16.471,41.894,,,,,,
55.176,57.487,20.542,-52.098,13.705,43.775,,,,,,
53.727,57.271,22.215,-51.516,10.802,44.931,,,,,,
51.787,56.469,23.624,-50.595,7.8193,45.286,,,,,,
49.294,55.105,24.758,-49.317,4.8595,44.842,,,,,,
46.213,53.23,25.605,-47.669,2.0374,43.68,,,,,,
42.535,50.91,26.173,-45.646,-0.55801,41.934,,,,,,
38.278,48.22,26.49,-43.249,-2.8849,39.742,,,,,,
33.47,45.234,26.605,-40.482,-4.9503,37.222,,,,,,
28.147,42.024,26.574,-37.345,-6.7985,34.473,,,,,,
22.357,38.655,26.454,-33.838,-8.4879,31.591,,,,,,
16.196,35.179,26.288,-29.964,-10.066,28.675,,,,,,
9.8303,31.634,26.097,-25.738,-11.556,25.808,,,,,,
3.5044,28.044,25.885,-21.212,-12.954,23.051,,,,,,
-2.5005,24.434,25.645,-16.489,-14.24,20.44,,,,,,
-7.9357,20.849,25.378,-11.726,-15.395,18.012,,,,,,
-12.645,17.362,25.095,-7.1123,-16.418,15.813,,,,,,
-16.587,14.063,24.828,-2.8216,-17.328,13.894,,,,,,
-19.818,11.039,24.614,1.0257,-18.164,12.289,,,,,,
-22.451,8.3389,24.484,4.3882,-18.965,11.001,,,,,,
-24.612,5.9588,24.449,7.2988,-19.755,9.9919,,,,,,
-26.416,3.8355,24.487,9.8405,-20.533,9.1966,,,,,,
-27.949,1.8743,24.558,12.109,-21.279,8.5404,,,,,,
-29.272,-0.015712,24.621,14.179,-21.97,7.9575,,,,,,
-30.424,-1.8784,24.658,16.086,-22.592,7.4104,,,,,,
-31.433,-3.6946,24.679,17.824,-23.155,6.8918,,,,,,
-32.315,-5.388,24.716,19.365,-23.682,6.4186,,,,,,
-33.075,-6.8598,24.803,20.677,-24.196,6.0174,,,,,,
-33.711,-8.0182,24.963,21.728,-24.706,5.7118,,,,,,
-34.212,-8.8017,25.199,22.497,-25.202,5.5169,,,,,,
-34.569,-9.1803,25.501,22.972,-25.662,5.4396,,,,,,
-34.776,-9.1511,25.859,23.155,-26.067,5.4857,,,,,,
-34.844,-8.7305,26.272,23.06,-26.408,5.6678,,,,,,
-34.789,-7.9455,26.744,22.707,-26.69,6.0092,,,,,,
-34.633,-6.8228,27.288,22.12,-26.928,6.5428,,,,,,
-34.388,-5.3831,27.913,21.309,-27.139,7.3078,,,,,,
-34.048,-3.6366,28.624,20.259,-27.332,8.3505,,,,,,
-33.581,-1.5701,29.417,18.919,-27.496,9.7335,,,,,,
-32.924,0.86893,30.29,17.191,-27.608,11.552,,,,,,
-31.987,3.7726,31.241,14.928,-27.637,13.939,,,,,,
-30.655,7.2494,32.286,11.951,-27.562,17.019,,,,,,
-28.808,11.37,33.461,8.0934,-27.38,20.788,,,,,,
-26.334,16.1,34.809,3.2788,-27.107,24.979,,,,,,
-23.156,21.279,36.363,-2.3984,-26.764,29.179,,,,,,
-19.249,26.682,38.097,-8.653,-26.358,33.152,,,,,,
-14.647,32.137,39.901,-15.097,-25.869,36.956,,,,,,
-9.4109,37.582,41.621,-21.378,-25.251,40.794,,,,,,
-3.6218,43.018,43.145,-27.26,-24.447,44.876,,,,,,
2.6078,48.435,44.466,-32.61,-23.416,49.372,,,,,,
9.0934,53.758,45.672,-37.362,-22.149,54.339,,,,,,
15.579,58.848,46.875,-41.488,-20.68,59.627,,,,,,
21.79,63.524,48.1,-44.993,-19.069,64.853,,,,,,
27.505,67.591,49.208,-47.904,-17.38,69.474,,,,,,
32.599,70.86,49.92,-50.257,-15.667,72.925,,,,,,
37.01,73.157,49.914,-52.075,-13.977,74.737,,,,,,
40.685,74.324,48.934,-53.358,-12.361,74.59,,,,,,
43.514,74.205,46.845,-54.057,-10.871,72.335,,,,,,
45.305,72.655,43.653,-54.068,-9.5551,68.01,,,,,,
45.79,69.566,39.497,-53.215,-8.4446,61.848,,,,,,
44.685,64.929,34.633,-51.27,-7.5502,54.279,,,,,,
41.809,58.868,29.404,-48.023,-6.8711,45.901,,,,,,
37.199,51.625,24.211,-43.377,-6.4088,37.388,,,,,,
31.11,43.481,19.451,-37.392,-6.1731,29.302,,,,,,
23.903,34.66,15.412,-30.243,-6.1719,21.912,,,,,,
15.959,25.282,12.129,-22.16,-6.4114,15.177,,,,,,
7.6584,15.431,9.3289,-13.439,-6.9036,8.9141,,,,,,
-0.61321,5.3349,6.5959,-4.492,-7.6723,3.0291,,,,,,
-8.4908,-4.5263,3.7565,4.1604,-8.7402,-2.3198,,,,,,
-15.668,-13.568,1.0287,12.019,-10.099,-6.9074,,,,,,
-21.929,-21.411,-1.2786,18.76,-11.69,-10.819,,,,,,
-27.151,-28.027,-3.0504,24.298,-13.416,-14.382,,,,,,
-31.311,-33.61,-4.3604,28.72,-15.168,-17.861,,,,,,
-34.487,-38.391,-5.3498,32.201,-16.852,-21.334,,,,,,
-36.828,-42.531,-6.1382,34.93,-18.395,-24.72,,,,,,
-38.519,-46.095,-6.7884,37.076,-19.752,-27.83,,,,,,
-39.731,-49.101,-7.3199,38.774,-20.907,-30.482,,,,,,
-40.61,-51.61,-7.7549,40.145,-21.861,-32.632,,,,,,
-41.27,-53.795,-8.1755,41.318,-22.611,-34.442,,,,,,
-41.811,-55.972,-8.7629,42.453,-23.139,-36.266,,,,,,
-42.319,-58.592,-9.7848,43.76,-23.391,-38.57,,,,,,
-42.863,-62.185,-11.5,45.502,-23.281,-41.763,,,,,,
-43.485,-67.079,-14.046,47.989,-22.681,-45.565,,,,,,
-44.178,-71.697,-16.89,51.419,-21.41,-46.881,,,,,,
-44.856,-72.502,-15.914,55.312,-19.294,-45.791,,,,,,
-45.336,-71.835,-13.889,58.354,-16.663,-44.081,,,,,,
-45.358,-71.755,-12.054,59.944,-17.041,-42.922,,,,,,
-44.697,-72.252,-11.813,60.408,-23.391,-43.245,,,,,,
-43.61,-74.426,-14.68,60.489,-24.985,-46.197,,,,,,
-48.916,-84.284,-22.582,64.663,-23.168,-55.735,,,,,,
-63.049,-108.38,-39.965,80.918,-18.869,-76.87,,,,,,
-72.384,-148.58,-69.848,105.45,-11.319,-112.12,,,,,,
